X,Y,FL_den,0-10,10-20,20-30,30-40,40-50
4739418.0884,2690919.139745445,0.0,0,0,0,0,0
4749418.0884,2690919.139745445,0.0,0,0,0,0,0
4759418.0884,2690919.139745445,0.0,0,0,0,0,0
4769418.0884,2690919.139745445,0.0,0,0,0,0,0
4779418.0884,2690919.139745445,0.0,0,0,0,0,0
4789418.0884,2690919.139745445,0.0,0,0,0,0,0
4799418.0884,2690919.139745445,0.0,0,0,0,0,0
4809418.0884,2690919.139745445,0.0,0,0,0,0,0
4819418.0884,2690919.139745445,0.0,0,0,0,0,0
4829418.0884,2690919.139745445,0.0,0,0,0,0,0
4839418.0884,2690919.139745445,0.0,0,0,0,0,0
4849418.0884,2690919.139745445,0.0,0,0,0,0,0
4859418.0884,2690919.139745445,0.0,0,0,0,0,0
4869418.0884,2690919.139745445,0.0,0,3,5,3,0
4879418.0884,2690919.139745445,0.0,2,5,9,5,0
4889418.0884,2690919.139745445,6.0476049839053296e-05,5,6,10,6,1
4899418.0884,2690919.139745445,9.017606498673558e-05,6,1,8,5,2
4909418.0884,2690919.139745445,5.543741644942202e-05,5,3,6,6,2
4919418.0884,2690919.139745445,6.383408617693931e-05,5,5,5,8,3
4929418.0884,2690919.139745445,6.405494787031785e-05,5,5,5,5,5
4939418.0884,2690919.139745445,6.0410340665839606e-05,6,6,5,4,7
4949418.0884,2690919.139745445,3.980873589171097e-05,11,8,10,5,7
4959418.0884,2690919.139745445,8.637337305117399e-05,12,11,13,7,6
4969418.0884,2690919.139745445,0.0001190804105135,11,9,17,9,6
4979418.0884,2690919.139745445,0.0001716084370855,12,7,12,9,2
4989418.0884,2690919.139745445,7.793607073836029e-05,24,14,12,8,1
4999418.0884,2690919.139745445,6.865026807645336e-05,26,14,11,6,0
5009418.0884,2690919.139745445,4.704355887952261e-05,15,10,5,2,0
4729418.0884,2680919.139745445,0.0,0,0,0,0,0
4739418.0884,2680919.139745445,0.0,0,0,0,0,0
4749418.0884,2680919.139745445,0.0,0,0,0,0,0
4759418.0884,2680919.139745445,0.0,0,0,0,0,0
4769418.0884,2680919.139745445,0.0,0,0,0,0,0
4779418.0884,2680919.139745445,0.0,0,0,0,0,0
4789418.0884,2680919.139745445,0.0,0,0,0,0,0
4799418.0884,2680919.139745445,0.0,0,0,0,0,0
4809418.0884,2680919.139745445,0.0,0,0,0,0,0
4819418.0884,2680919.139745445,0.0,0,0,0,0,0
4829418.0884,2680919.139745445,0.0,0,0,0,0,0
4839418.0884,2680919.139745445,0.0,0,0,0,0,0
4849418.0884,2680919.139745445,0.0,0,0,0,0,0
4859418.0884,2680919.139745445,0.0,0,1,0,0,0
4869418.0884,2680919.139745445,5.5556392908329136e-06,1,5,10,5,2
4879418.0884,2680919.139745445,2.656230390130077e-05,5,11,21,6,2
4889418.0884,2680919.139745445,5.30065008206293e-05,6,16,36,9,4
4899418.0884,2680919.139745445,9.957141446648164e-05,8,12,36,11,3
4909418.0884,2680919.139745445,8.753852307563646e-05,11,9,21,10,3
4919418.0884,2680919.139745445,8.278052700916305e-05,6,7,12,11,5
4929418.0884,2680919.139745445,4.349220762378536e-05,7,8,6,6,7
4939418.0884,2680919.139745445,6.762509292457253e-05,11,9,9,6,7
4949418.0884,2680919.139745445,7.97168759163469e-05,17,14,13,9,9
4959418.0884,2680919.139745445,0.0001144185152952,21,15,19,10,10
4969418.0884,2680919.139745445,0.0001211125927511,25,19,25,13,8
4979418.0884,2680919.139745445,9.323634731117636e-05,35,27,27,14,6
4989418.0884,2680919.139745445,5.49254946236033e-05,47,27,25,12,2
4999418.0884,2680919.139745445,9.19865706237033e-05,66,33,19,9,1
5009418.0884,2680919.139745445,5.333529770723544e-05,51,28,13,6,0
4729418.0884,2670919.139745445,0.0,0,0,0,0,0
4739418.0884,2670919.139745445,0.0,0,0,0,0,0
4749418.0884,2670919.139745445,0.0,0,0,0,0,0
4759418.0884,2670919.139745445,0.0,0,0,0,0,0
4769418.0884,2670919.139745445,0.0,0,0,0,0,0
4779418.0884,2670919.139745445,0.0,0,0,0,0,0
4789418.0884,2670919.139745445,0.0,0,0,0,0,0
4799418.0884,2670919.139745445,0.0,0,0,0,0,0
4809418.0884,2670919.139745445,0.0,0,0,0,0,0
4819418.0884,2670919.139745445,0.0,0,0,0,0,0
4829418.0884,2670919.139745445,0.0,0,0,0,0,0
4839418.0884,2670919.139745445,0.0,0,0,0,0,0
4849418.0884,2670919.139745445,0.0,0,0,0,0,0
4859418.0884,2670919.139745445,0.0,1,1,0,0,0
4869418.0884,2670919.139745445,0.0,2,10,20,5,2
4879418.0884,2670919.139745445,5.6981443776749074e-05,5,19,43,7,2
4889418.0884,2670919.139745445,8.206708298530428e-05,14,21,64,12,3
4899418.0884,2670919.139745445,0.0001116820858442,18,22,63,17,4
4909418.0884,2670919.139745445,8.625552436569706e-05,16,15,33,12,3
4919418.0884,2670919.139745445,0.0001141647808253,16,9,18,16,5
4929418.0884,2670919.139745445,0.0001114023543777,10,6,6,10,7
4939418.0884,2670919.139745445,6.422676233341917e-05,16,7,9,8,6
4949418.0884,2670919.139745445,4.234992229612544e-05,26,17,18,11,9
4959418.0884,2670919.139745445,7.516556797781958e-05,37,24,27,12,8
4969418.0884,2670919.139745445,0.0001010938285617,44,32,37,14,8
4979418.0884,2670919.139745445,9.629878331907092e-05,60,42,38,17,7
4989418.0884,2670919.139745445,0.0001223188592121,100,55,39,13,3
4999418.0884,2670919.139745445,8.16287938505411e-05,125,60,30,10,2
5009418.0884,2670919.139745445,1.6069781850092113e-05,96,51,19,6,0
4729418.0884,2660919.139745445,0.0,0,0,0,0,0
4739418.0884,2660919.139745445,0.0,0,0,0,0,0
4749418.0884,2660919.139745445,0.0,0,0,0,0,0
4759418.0884,2660919.139745445,0.0,0,0,0,0,0
4769418.0884,2660919.139745445,0.0,0,0,0,0,0
4779418.0884,2660919.139745445,0.0,0,0,0,0,0
4789418.0884,2660919.139745445,0.0,0,0,0,0,0
4799418.0884,2660919.139745445,0.0,0,0,0,0,0
4809418.0884,2660919.139745445,0.0,0,0,0,0,0
4819418.0884,2660919.139745445,0.0,0,0,0,0,0
4829418.0884,2660919.139745445,0.0,0,0,0,0,0
4839418.0884,2660919.139745445,0.0,0,0,0,0,0
4849418.0884,2660919.139745445,0.0,0,0,0,0,0
4859418.0884,2660919.139745445,0.0,0,0,1,0,0
4869418.0884,2660919.139745445,0.0,2,9,23,5,2
4879418.0884,2660919.139745445,5.225678251008503e-05,9,19,51,8,2
4889418.0884,2660919.139745445,7.457874744432047e-05,18,24,67,12,3
4899418.0884,2660919.139745445,9.395438974024728e-05,24,25,62,10,2
4909418.0884,2660919.139745445,8.222820179071277e-05,24,15,40,11,2
4919418.0884,2660919.139745445,6.088563168304972e-05,22,11,16,13,4
4929418.0884,2660919.139745445,3.734292477020063e-05,23,9,4,9,5
4939418.0884,2660919.139745445,0.0,26,4,6,7,4
4949418.0884,2660919.139745445,5.9881182096432894e-05,47,10,15,10,7
4959418.0884,2660919.139745445,9.924643381964417e-05,54,28,29,12,8
4969418.0884,2660919.139745445,0.0001652130304137,60,37,37,11,7
4979418.0884,2660919.139745445,0.0002194767585024,98,50,44,12,7
4989418.0884,2660919.139745445,0.0001385662180837,149,78,40,14,3
4999418.0884,2660919.139745445,7.89315381553024e-05,164,78,35,12,2
5009418.0884,2660919.139745445,1.3396232134255112e-05,135,56,25,9,1
4729418.0884,2650919.139745445,0.0,0,0,0,0,0
4739418.0884,2650919.139745445,0.0,0,0,0,0,0
4749418.0884,2650919.139745445,0.0,0,0,0,0,0
4759418.0884,2650919.139745445,0.0,0,0,0,0,0
4769418.0884,2650919.139745445,0.0,0,0,0,0,0
4779418.0884,2650919.139745445,0.0,0,0,0,0,0
4789418.0884,2650919.139745445,0.0,0,0,0,0,0
4799418.0884,2650919.139745445,0.0,0,0,0,0,0
4809418.0884,2650919.139745445,0.0,0,0,0,0,0
4819418.0884,2650919.139745445,0.0,0,0,0,0,0
4829418.0884,2650919.139745445,0.0,0,0,0,0,0
4839418.0884,2650919.139745445,0.0,0,0,0,0,0
4849418.0884,2650919.139745445,0.0,0,0,0,0,0
4859418.0884,2650919.139745445,0.0,0,0,0,0,0
4869418.0884,2650919.139745445,0.0,2,3,11,1,1
4879418.0884,2650919.139745445,0.0,10,10,37,4,3
4889418.0884,2650919.139745445,6.264238618314266e-05,18,20,47,6,2
4899418.0884,2650919.139745445,8.423438703175634e-05,25,21,51,6,1
4909418.0884,2650919.139745445,3.878194547723978e-05,28,12,29,9,2
4919418.0884,2650919.139745445,0.0,31,10,15,9,4
4929418.0884,2650919.139745445,1.3723592019232456e-05,38,6,7,7,2
4939418.0884,2650919.139745445,5.9347799833631136e-05,66,11,8,9,2
4949418.0884,2650919.139745445,5.9493901062523946e-05,102,13,14,7,4
4959418.0884,2650919.139745445,7.560829544672742e-05,103,18,23,9,3
4969418.0884,2650919.139745445,0.0002350861614104,97,27,27,9,3
4979418.0884,2650919.139745445,0.0002637950819917,113,47,34,14,6
4989418.0884,2650919.139745445,0.0001136588471126,168,73,43,13,4
4999418.0884,2650919.139745445,5.4549822380067774e-05,179,73,41,16,2
5009418.0884,2650919.139745445,1.377335956931347e-05,144,59,27,12,2
4729418.0884,2640919.139745445,0.0,0,0,0,0,0
4739418.0884,2640919.139745445,0.0,0,0,0,0,0
4749418.0884,2640919.139745445,0.0,0,0,0,0,0
4759418.0884,2640919.139745445,0.0,0,0,0,0,0
4769418.0884,2640919.139745445,0.0,0,0,0,0,0
4779418.0884,2640919.139745445,0.0,0,0,0,0,0
4789418.0884,2640919.139745445,0.0,0,0,0,0,0
4799418.0884,2640919.139745445,0.0,0,0,0,0,0
4809418.0884,2640919.139745445,0.0,0,0,0,0,0
4819418.0884,2640919.139745445,0.0,0,0,0,0,0
4829418.0884,2640919.139745445,0.0,0,0,0,0,0
4839418.0884,2640919.139745445,0.0,0,0,0,0,0
4849418.0884,2640919.139745445,0.0,0,0,0,0,0
4859418.0884,2640919.139745445,0.0,0,0,0,0,0
4869418.0884,2640919.139745445,0.0,0,0,0,1,1
4879418.0884,2640919.139745445,0.0,9,4,11,4,1
4889418.0884,2640919.139745445,4.489816637942568e-05,17,10,25,5,1
4899418.0884,2640919.139745445,6.282669346546754e-05,23,11,21,8,1
4909418.0884,2640919.139745445,0.0,30,13,15,8,1
4919418.0884,2640919.139745445,0.0,41,14,12,10,2
4929418.0884,2640919.139745445,1.4521790944854727e-05,74,13,7,8,3
4939418.0884,2640919.139745445,3.718459265655837e-05,128,22,9,7,2
4949418.0884,2640919.139745445,4.179604729870334e-05,152,19,16,8,2
4959418.0884,2640919.139745445,0.0001125668277381,166,19,21,6,3
4969418.0884,2640919.139745445,0.0001908211706904,136,23,21,7,3
4979418.0884,2640919.139745445,0.0002581905573606,140,33,27,9,4
4989418.0884,2640919.139745445,0.0001922948576975,172,50,41,17,4
4999418.0884,2640919.139745445,0.0001355833373963,186,61,40,15,3
5009418.0884,2640919.139745445,3.582296267268248e-05,139,49,33,11,1
4729418.0884,2630919.139745445,0.0,0,0,0,0,0
4739418.0884,2630919.139745445,0.0,0,0,0,0,0
4749418.0884,2630919.139745445,0.0,0,0,0,0,0
4759418.0884,2630919.139745445,0.0,0,0,0,0,0
4769418.0884,2630919.139745445,0.0,0,0,0,0,0
4779418.0884,2630919.139745445,0.0,0,0,0,0,0
4789418.0884,2630919.139745445,0.0,0,0,0,0,0
4799418.0884,2630919.139745445,0.0,0,0,0,0,0
4809418.0884,2630919.139745445,0.0,0,0,0,0,0
4819418.0884,2630919.139745445,0.0,0,0,0,0,0
4829418.0884,2630919.139745445,0.0,0,0,0,0,0
4839418.0884,2630919.139745445,0.0,0,0,0,0,0
4849418.0884,2630919.139745445,0.0,0,0,0,0,0
4859418.0884,2630919.139745445,0.0,0,0,0,0,0
4869418.0884,2630919.139745445,0.0,1,0,0,1,1
4879418.0884,2630919.139745445,0.0,4,1,2,2,2
4889418.0884,2630919.139745445,0.0,11,7,7,5,2
4899418.0884,2630919.139745445,6.26167020527646e-05,25,10,14,8,3
4909418.0884,2630919.139745445,4.626938607543706e-05,43,10,22,8,1
4919418.0884,2630919.139745445,0.0,62,14,22,10,2
4929418.0884,2630919.139745445,0.0,132,20,20,9,3
4939418.0884,2630919.139745445,0.0,206,23,16,8,2
4949418.0884,2630919.139745445,2.519082227081526e-05,253,21,15,6,4
4959418.0884,2630919.139745445,6.0228430811548606e-05,238,22,16,8,5
4969418.0884,2630919.139745445,0.0001517318014521,201,15,17,8,5
4979418.0884,2630919.139745445,0.0001632831263123,156,18,17,8,3
4989418.0884,2630919.139745445,0.0001237352844327,158,37,32,14,3
4999418.0884,2630919.139745445,7.442187779815868e-05,155,50,36,16,4
5009418.0884,2630919.139745445,0.0,114,33,29,8,3
4729418.0884,2620919.139745445,0.0,0,0,0,0,0
4739418.0884,2620919.139745445,0.0,0,0,0,0,0
4749418.0884,2620919.139745445,0.0,0,0,0,0,0
4759418.0884,2620919.139745445,0.0,0,0,0,0,0
4769418.0884,2620919.139745445,0.0,0,0,0,0,0
4779418.0884,2620919.139745445,0.0,0,0,0,0,0
4789418.0884,2620919.139745445,0.0,0,0,0,0,0
4799418.0884,2620919.139745445,0.0,0,0,0,0,0
4809418.0884,2620919.139745445,0.0,0,0,0,0,0
4819418.0884,2620919.139745445,0.0,0,0,0,0,0
4829418.0884,2620919.139745445,0.0,0,0,0,0,0
4839418.0884,2620919.139745445,0.0,0,0,0,0,0
4849418.0884,2620919.139745445,0.0,0,0,0,0,0
4859418.0884,2620919.139745445,0.0,0,0,0,0,0
4869418.0884,2620919.139745445,0.0,3,0,0,1,0
4879418.0884,2620919.139745445,0.0,6,0,1,2,2
4889418.0884,2620919.139745445,0.0,10,3,4,5,3
4899418.0884,2620919.139745445,5.480350591824389e-05,32,7,25,8,2
4909418.0884,2620919.139745445,5.726047675125301e-05,53,15,32,10,4
4919418.0884,2620919.139745445,0.0,91,15,42,13,3
4929418.0884,2620919.139745445,0.0,178,22,40,11,4
4939418.0884,2620919.139745445,0.0,258,28,26,13,3
4949418.0884,2620919.139745445,0.0,320,32,23,9,6
4959418.0884,2620919.139745445,0.0,291,22,17,7,7
4969418.0884,2620919.139745445,0.0001682581205386,200,15,12,8,7
4979418.0884,2620919.139745445,0.0001860990741988,142,13,7,12,4
4989418.0884,2620919.139745445,6.215334724402055e-05,145,32,28,15,3
4999418.0884,2620919.139745445,0.0,146,36,32,14,2
5009418.0884,2620919.139745445,0.0,101,29,25,11,1
4729418.0884,2610919.139745445,0.0,0,0,0,0,0
4739418.0884,2610919.139745445,0.0,0,0,0,0,0
4749418.0884,2610919.139745445,0.0,0,0,0,0,0
4759418.0884,2610919.139745445,0.0,0,0,0,0,0
4769418.0884,2610919.139745445,0.0,0,0,0,0,0
4779418.0884,2610919.139745445,0.0,0,0,0,0,0
4789418.0884,2610919.139745445,0.0,0,0,0,0,0
4799418.0884,2610919.139745445,0.0,0,0,0,0,0
4809418.0884,2610919.139745445,0.0,0,0,0,0,0
4819418.0884,2610919.139745445,0.0,0,0,0,0,0
4829418.0884,2610919.139745445,0.0,0,0,0,0,0
4839418.0884,2610919.139745445,0.0,0,0,0,0,0
4849418.0884,2610919.139745445,0.0,0,0,0,0,0
4859418.0884,2610919.139745445,0.0,1,0,0,0,0
4869418.0884,2610919.139745445,0.0,4,0,0,1,0
4879418.0884,2610919.139745445,0.0,7,0,0,2,1
4889418.0884,2610919.139745445,0.0,11,4,6,4,2
4899418.0884,2610919.139745445,4.179900497547352e-05,25,8,23,5,3
4909418.0884,2610919.139745445,6.330840551527217e-05,49,15,39,8,3
4919418.0884,2610919.139745445,0.0,83,16,43,12,3
4929418.0884,2610919.139745445,0.0,183,17,48,14,4
4939418.0884,2610919.139745445,2.1460566131281663e-05,247,26,29,19,3
4949418.0884,2610919.139745445,8.391115989070386e-05,300,31,30,16,7
4959418.0884,2610919.139745445,0.0001211518538184,263,20,19,13,7
4969418.0884,2610919.139745445,0.0002366057888139,176,15,9,7,6
4979418.0884,2610919.139745445,0.000157738715643,108,18,7,8,4
4989418.0884,2610919.139745445,0.0,118,28,18,10,2
4999418.0884,2610919.139745445,0.0,105,34,19,9,2
5009418.0884,2610919.139745445,0.0,87,27,19,7,1
4729418.0884,2600919.139745445,0.0,0,0,0,0,0
4739418.0884,2600919.139745445,0.0,0,0,0,0,0
4749418.0884,2600919.139745445,0.0,0,0,0,0,0
4759418.0884,2600919.139745445,0.0,0,0,0,0,0
4769418.0884,2600919.139745445,0.0,0,0,0,0,0
4779418.0884,2600919.139745445,0.0,0,0,0,0,0
4789418.0884,2600919.139745445,0.0,0,0,0,0,0
4799418.0884,2600919.139745445,0.0,0,0,0,0,0
4809418.0884,2600919.139745445,0.0,0,0,0,0,0
4819418.0884,2600919.139745445,0.0,0,0,0,0,0
4829418.0884,2600919.139745445,0.0,0,0,0,0,0
4839418.0884,2600919.139745445,0.0,0,0,0,0,0
4849418.0884,2600919.139745445,0.0,0,0,0,0,0
4859418.0884,2600919.139745445,0.0,1,0,0,0,0
4869418.0884,2600919.139745445,0.0,2,0,0,0,0
4879418.0884,2600919.139745445,0.0,4,0,0,2,1
4889418.0884,2600919.139745445,0.0,8,4,3,2,2
4899418.0884,2600919.139745445,0.0,14,7,13,3,3
4909418.0884,2600919.139745445,6.408841727534309e-05,30,14,33,5,2
4919418.0884,2600919.139745445,3.027446837222669e-05,61,16,44,13,3
4929418.0884,2600919.139745445,0.0,123,23,38,17,3
4939418.0884,2600919.139745445,7.148613076424226e-05,188,24,31,16,2
4949418.0884,2600919.139745445,0.0001290357031393,211,28,35,19,5
4959418.0884,2600919.139745445,0.0001870939013315,191,32,27,16,5
4969418.0884,2600919.139745445,0.0001796703145373,118,19,16,8,4
4979418.0884,2600919.139745445,2.260365363326855e-05,73,22,10,8,3
