Mc_value,Mc_std,b_value,b_value_std,a_value,a_value_std,power_fit,Additional_Runs_b_std,Additional_Runs_Mc_std,failreason,nEvents_gt_local_Mc,RadiusKm,x,y,max_mag,Number_of_Events,was_evaluated
1.2,NaN,1.88194275491409,0.401666278152206,3.67330465386773,NaN,NaN,NaN,NaN,NaN,26,14.6679472660433,-75.261377091212,4.42548422218928,2.3,84,1
1.1,NaN,1.24084137686643,0.35901284023454,2.44325216167905,NaN,NaN,NaN,NaN,NaN,9,14.9766955985512,-75.2616895192628,4.60634685658988,2,26,1
1.3,NaN,1.53280405377618,0.785157280999174,2.4697665246287,NaN,NaN,NaN,NaN,NaN,3,14.7078487867196,-75.2620145967542,4.78720857311705,1.8,8,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,9.27556007623024,-75.2623523398181,4.96806933606801,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,14.6930243932216,-75.262702765225,5.14892910977894,1.4,2,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.263065890387,5.3297878586264,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.263441733359,5.51064554702881,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2638303128416,5.69150213944793,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.264231648183,5.87235760039023,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2646457593815,6.05321189440842,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.265072667088,6.23406498610285,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2655123926085,6.41491684012294,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2659649579065,6.59576742116867,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2664303856061,6.77661669399199,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2669086989944,6.95746462339826,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2673999220248,7.13831117424768,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2679040793194,7.31915631145671,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2684211961724,7.49999999999954,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2689512985535,7.68084220490948,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2694944131105,7.86168289128039,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2700505671729,8.04252202426811,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2706197887553,8.22335956909188,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2712021065611,8.40419549103574,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2717975499857,8.58502975544995,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2724061491203,8.76586232775241,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2730279347557,8.94669317343007,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2736629383863,9.1275222580403,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2743111922139,9.30834954721232,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2749727291515,9.48917500664859,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2756475828279,9.66999860212622,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2763357875919,9.8508202994983,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2770373785161,10.0316400646954,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2777523914019,10.2124578637268,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2784808627841,10.3932736626821,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2792228299348,10.5740874277322,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2799783308691,10.7548991251312,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.2807474043492,10.9357087212173,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.080677247505,4.06375634276491,NaN,0,0
1.4,NaN,1.3624924922455,0.400757315179368,3.11160947179962,NaN,NaN,NaN,NaN,NaN,16,14.9113297981467,-75.0809233975205,4.24462070565552,2.6,72,1
1.4,NaN,1.50673595762353,0.218256070172108,3.64090925771519,NaN,NaN,NaN,NaN,NaN,34,14.9984397463243,-75.081180363896,4.42548422218928,2.3,155,1
1.1,NaN,1.09402426738987,0.12227876246417,3.02297062967073,NaN,NaN,NaN,NaN,NaN,66,14.9096001570432,-75.0814481593681,4.60634685658988,2.4,151,1
0.9,NaN,1.00497896638769,0.124771623840159,2.35163910109114,NaN,NaN,NaN,NaN,NaN,28,14.5490758109064,-75.0817267972179,4.78720857311705,2.3,45,1
1.5,NaN,2.17147240951626,0.54225862890839,3.85926860560235,NaN,NaN,NaN,NaN,NaN,4,14.6658465339076,-75.0820162912726,4.96806933606801,1.7,51,1
1.1,NaN,1.1405713666146,0.299944484157941,2.3685718555829,NaN,NaN,NaN,NaN,NaN,13,14.9892301507647,-75.0823166559072,5.14892910977894,2.3,34,1
1.3,NaN,1.24084137686643,0.807536277850513,2.43614793194903,NaN,NaN,NaN,NaN,NaN,5,14.2599056114003,-75.082627906046,5.3297878586264,2.6,19,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,12.6322772946371,-75.0829500571649,5.51064554702881,2.6,4,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,14.8120265715059,-75.0832831252928,5.69150213944793,1.5,6,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,12.962387551373,-75.083627127014,5.87235760039023,2,6,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,13.2900371873922,-75.0839820794699,6.05321189440842,1.6,2,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.0843480003612,6.23406498610285,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.0847249079501,6.41491684012294,NaN,0,0
